haMcixanu haMcu(V23)+ixa_u_PAST+anu_a_3SM   
haMcixavalYigosugavo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugavo_lYu_PRES
haMcixavalYigosugave haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugave_lYu_IMPH
haMcixavalYigosugave haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugave_lYu_DECL
haMcixavalYigosugave haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugave_lYu_RIS
haMcixavalYigosuga haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosuga_lYu_3SF
haMcixavalYigosugavA haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugavA_lYu_INTR
haMcixavalYigosugavU haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugavU_lYu_INCL
haMcixavalYigosugavo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugavo_lYu_DUB
haMcixavalYigosugavo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugavo_lYu_INDF
haMcixavalYigosugavo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugavo_lYu_PRES
haMcixavalYigosugave haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugave_lYu_IMPH
haMcixavalYigosugave haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugave_lYu_DECL
haMcixavalYigosugave haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugave_lYu_RIS
haMcixavalYigiMwa haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwa_lYu_3SF
haMcixavalYigiMwalA haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwalA_lYu_INTR
haMcixavalYigiMwalU haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwalU_lYu_INCL
haMcixavalYigiMwalo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwalo_lYu_DUB
haMcixavalYigiMwalo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwalo_lYu_INDF
haMcixavalYigiMwalo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwalo_lYu_PRES
haMcixavalYigiMwale haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwale_lYu_IMPH
haMcixavalYigiMwale haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwale_lYu_DECL
haMcixavalYigiMwale haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwale_lYu_RIS
haMcixavalYhaMcixeV haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYhaMcixeV_lYu_3SF
haMcixavalYaxeVyA haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYaxeVyA_lYu_INTR
haMcixavalYaxeVyU haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYaxeVyU_lYu_INCL
haMcixavalYaxeVyo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYaxeVyo_lYu_DUB
haMcixavalYaxeVyo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYaxeVyo_lYu_INDF
haMcixavalYaxeVyo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYaxeVyo_lYu_PRES
haMcixavalYxeVye haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYxeVye_lYu_IMPH
haMcixavalYxeVye haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYxeVye_lYu_DECL
haMcixavalYxeVye haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYxeVye_lYu_RIS
haMcixavalYoVdaneV haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneV_lYu_3SF
haMcixavalYoVdaneVyA haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVyA_lYu_INTR
haMcixavalYoVdaneVyU haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVyU_lYu_INCL
haMcixavalYoVdaneVyo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVyo_lYu_DUB
haMcixavalYoVdaneVyo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVyo_lYu_INDF
haMcixavalYoVdaneVyo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVyo_lYu_PRES
haMcixavalYoVdaneVye haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVye_lYu_IMPH
haMcixavalYoVdaneVye haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVye_lYu_DECL
haMcixavalYoVdaneVye haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVye_lYu_RIS
haMcixavalYoVMxigeV  haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeV_lYu_3SF
haMcixavalYoVMxigeVyA haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVyA_lYu_INTR
haMcixavalYoVMxigeVyU haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVyU_lYu_INCL
haMcixavalYoVMxigeVyo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVyo_lYu_DUB
haMcixavalYoVMxigeVyo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVyo_lYu_INDF
haMcixavalYoVMxigeVyo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVyo_lYu_PRES
haMcixavalYoVMxigeVye haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVye_lYu_IMPH
haMcixavalYoVMxigeVye haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVye_lYu_DECL
haMcixavalYoVMxigeVye haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVye_lYu_RIS
haMcixavarannu haMcu(V4)+ixa_u_PRP+ixavaru_ixa_ACC+rannu_ru_3P
haMcixavariMxalA haMcu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxalA_ru_INTR
haMcixavariMxalU haMcu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxalU_ru_INCL
haMcixavariMxalo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxalo_ru_DUB
haMcixavariMxalo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxalo_ru_INDF
haMcixavariMxalo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxalo_ru_PRES
haMcixavariMxale haMcu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxale_ru_IMPH
haMcixavariMxale haMcu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxale_ru_DECL
haMcixavariMxale haMcu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxale_ru_RIS
haMcixavarigeV haMcu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeV_ru_3P
haMcixavarigeVyA haMcu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVyA_ru_INTR
haMcixavarigeVyU haMcu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVyU_ru_INCL
haMcixavarigeVyo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVyo_ru_DUB
haMcixavarigeVyo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVyo_ru_INDF
haMcixavarigeVyo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVyo_ru_PRES
haMcixavarigeVye haMcu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVye_ru_IMPH
haMcixavarigeVye haMcu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVye_ru_DECL
haMcixavarigeVye haMcu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVye_ru_RIS
haMcixavariMxa  haMcu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxa_ru_3P
haMcixavariMxalA haMcu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxalA_ru_INTR
haMcixavariMxalU haMcu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxalU_ru_INCL
haMcixavariMxalo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxalo_ru_DUB
haMcixavariMxalo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxalo_ru_INDF
haMcixavariMxalo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxalo_ru_PRES
haMcixavariMxale haMcu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxale_ru_IMPH
haMcixavariMxale haMcu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxale_ru_DECL
haMcixavariMxale haMcu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxale_ru_RIS
haMcixavara haMcu(V4)+ixa_u_PRP+ixavaru_ixa_GEN+ra_ru_3P
haMcixavaralli haMcu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralli_ru_3P
haMcixavaralliyA haMcu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliyA_ru_INTR
haMcixavaralliyU haMcu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliyU_ru_INCL
haMcixavaralliyo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliyo_ru_DUB
haMcixavaralliyo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliyo_ru_INDF
haMcixavaralliyo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliyo_ru_PRES
haMcixavaralliye haMcu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliye_ru_IMPH
haMcixavaralliye haMcu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliye_ru_DECL
haMcixavaralliye haMcu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliye_ru_RIS
haMcixavarigoskara haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigoskara_ru_3P
haMcixavarigoskaravA haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigoskaravA_ru_INTR
haMcixavarigoskaravU haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigoskaravU_ru_INCL
haMcixavarigoskaravo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigoskaravo_ru_DUB
haMcixavarigoskaravo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigoskaravo_ru_INDF
haMcixavarigoskaravo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigoskaravo_ru_PRES
haMcixavarigoskarave haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigoskarave_ru_IMPH
haMcixavarigoskarave haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigoskarave_ru_DECL
haMcixavarigoskarave haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigoskarave_ru_RIS
haMcixavarigoskara haMcu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigoskara_ru_3P
haMcixavarigoskaravA haMcu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigoskaravA_ru_INTR
haMcixavarigoskaravU haMcu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigoskaravU_ru_INCL
haMcixavarigoskaravo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigoskaravo_ru_DUB
haMcixavarigoskaravo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigoskaravo_ru_INDF
haMcixavarigoskaravo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigoskaravo_ru_PRES
haMcixavarigoskarave haMcu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigoskarave_ru_IMPH
haMcixavarigoskarave haMcu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigoskarave_ru_DECL
haMcixavarigoskarave haMcu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigoskarave_ru_RIS
haMcixavarigAgi haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgi_ru_3P
haMcixavarigAgiyA haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyA_ru_INTR
haMcixavarigAgiyU haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyU_ru_INCL
haMcixavarigAgiyo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyo_ru_DUB
haMcixavarigAgiyo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyo_ru_INDF
haMcixavarigAgiyo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyo_ru_PRES
haMcixavarigAgiye haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiye_ru_IMPH
haMcixavarigAgiye haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiye_ru_DECL
haMcixavarigAgiye haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiye_ru_RIS
haMcixavarigAgi haMcu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigAgi_ru_3P
haMcixavarigAgiyA haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyA_ru_INTR
haMcixavarigAgiyU haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyU_ru_INCL
haMcixavarigAgiyo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyo_ru_DUB
haMcixavarigAgiyo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyo_ru_INDF
haMcixavarigAgiyo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyo_ru_PRES
haMcixavarigAgiye haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiye_ru_IMPH
haMcixavarigAgiye haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiye_ru_DECL
haMcixavarigAgiye haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiye_ru_RIS
haMcixavarigosuga haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigosuga_ru_3P
haMcixavarigosugavA haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigosugavA_ru_INTR
haMcixavarigosugavU haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigosugavU_ru_INCL
haMcixavarigosugavo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigosugavo_ru_DUB
haMcixavarigosugavo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigosugavo_ru_INDF
haMcixavarigosugavo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigosugavo_ru_PRES
haMcixavarigosugave haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigosugave_ru_IMPH
haMcixavarigosugave haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigosugave_ru_DECL
haMcixavarigosugave haMcu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigosugave_ru_RIS
haMcixavarigosuga haMcu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigosuga_ru_3P
haMcixavarigosugavA haMcu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigosugavA_ru_INTR
haMcixavarigosugavU haMcu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigosugavU_ru_INCL
haMcixavarigosugavo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigosugavo_ru_DUB
haMcixavarigosugavo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigosugavo_ru_INDF
haMcixavarigosugavo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigosugavo_ru_PRES
haMcixavarigosugave haMcu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigosugave_ru_IMPH
haMcixavarigosugave haMcu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigosugave_ru_DECL
haMcixavarigosugave haMcu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigosugave_ru_RIS
haMcixavarigiMwa haMcu(V4)+ixa_u_PRP+ixavaru_ixa_COMP+rigiMwa_ru_3P
haMcixavarigiMwalA haMcu(V4)+ixa_u_PRP+ixavaru_ixa_COMP+rigiMwalA_ru_INTR
haMcixavarigiMwalU haMcu(V4)+ixa_u_PRP+ixavaru_ixa_COMP+rigiMwalU_ru_INCL
haMcixavarigiMwalo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_COMP+rigiMwalo_ru_DUB
haMcixavarigiMwalo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_COMP+rigiMwalo_ru_INDF
haMcixavarigiMwalo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_COMP+rigiMwalo_ru_PRES
haMcixavarigiMwale haMcu(V4)+ixa_u_PRP+ixavaru_ixa_COMP+rigiMwale_ru_IMPH
haMcixavarigiMwale haMcu(V4)+ixa_u_PRP+ixavaru_ixa_COMP+rigiMwale_ru_DECL
haMcixavarigiMwale haMcu(V4)+ixa_u_PRP+ixavaru_ixa_COMP+rigiMwale_ru_RIS
haMcixavaraxeV haMcu(V4)+ixa_u_PRP+ixavaru_ixa_SIM+raxeV_ru_3P
haMcixavaraxeVyA haMcu(V4)+ixa_u_PRP+ixavaru_ixa_SIM+raxeVyA_ru_INTR
haMcixavaraxeVyU haMcu(V4)+ixa_u_PRP+ixavaru_ixa_SIM+raxeVyU_ru_INCL
haMcixavaraxeVyo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_SIM+raxeVyo_ru_DUB
haMcixavaraxeVyo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_SIM+raxeVyo_ru_INDF
haMcixavaraxeVyo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_SIM+raxeVyo_ru_PRES
haMcixavaraxeVye haMcu(V4)+ixa_u_PRP+ixavaru_ixa_SIM+raxeVye_ru_IMPH
haMcixavaraxeVye haMcu(V4)+ixa_u_PRP+ixavaru_ixa_SIM+raxeVye_ru_DECL
haMcixavaraxeVye haMcu(V4)+ixa_u_PRP+ixavaru_ixa_SIM+raxeVye_ru_RIS
haMcixavaroVdaneV haMcu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVdaneV_ru_3P
haMcixavaroVdaneVyA haMcu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVdaneVyA_ru_INTR
haMcixavaroVdaneVyU haMcu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVdaneVyU_ru_INCL
haMcixavaroVdaneVyo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVdaneVyo_ru_DUB
haMcixavaroVdaneVyo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVdaneVyo_ru_INDF
haMcixavaroVdaneVyo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVdaneVyo_ru_PRES
haMcixavaroVdaneVye haMcu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVdaneVye_ru_IMPH
haMcixavaroVdaneVye haMcu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVdaneVye_ru_DECL
haMcixavaroVdaneVye haMcu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVdaneVye_ru_RIS
haMcixavaroVMxigeV  haMcu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVMxigeV_ru_3P
haMcixavaroVMxigeVyA haMcu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVMxigeVyA_ru_INTR
haMcixavaroVMxigeVyU haMcu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVMxigeVyU_ru_INCL
haMcixavaroVMxigeVyo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVMxigeVyo_ru_DUB
haMcixavaroVMxigeVyo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVMxigeVyo_ru_INDF
haMcixavaroVMxigeVyo haMcu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVMxigeVyo_ru_PRES
haMcixavaroVMxigeVye haMcu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVMxigeVye_ru_IMPH
haMcixavaroVMxigeVye haMcu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVMxigeVye_ru_DECL
haMcixavaroVMxigeVye haMcu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVMxigeVye_ru_RIS
haMcixaMweVyA haMcu(V4)+ixa_u_SIM+ixaMweVyA_ixa_INTR
haMcixaMweVyU haMcu(V4)+ixa_u_SIM+ixaMweVyU_ixa_INCL
haMcixaMweVyo haMcu(V4)+ixa_u_SIM+ixaMweVyo_ixa_DUB
haMcixaMweVyo haMcu(V4)+ixa_u_SIM+ixaMweVyo_ixa_INDF
haMcixaMweVyo haMcu(V4)+ixa_u_SIM+ixaMweVyo_ixa_PRES
haMcixaMweVye haMcu(V4)+ixa_u_SIM+ixaMweVye_ixa_IMPH
haMcixaMweVye haMcu(V4)+ixa_u_SIM+ixaMweVye_ixa_DECL
haMcixaMweVye haMcu(V4)+ixa_u_SIM+ixaMweVye_ixa_RIS







