agalixanu agalu(V26)+ixa_u_PAST+anu_a_3SM    
agalixavalYoVdaneVye agalu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVye_lYu_RIS
agalixavalYoVMxigeV  agalu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeV_lYu_3SF
agalixavalYoVMxigeVyA agalu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVyA_lYu_INTR
agalixavalYoVMxigeVyU agalu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVyU_lYu_INCL
agalixavalYoVMxigeVyo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVyo_lYu_DUB
agalixavalYoVMxigeVyo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVyo_lYu_INDF
agalixavalYoVMxigeVyo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVyo_lYu_PRES
agalixavalYoVMxigeVye agalu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVye_lYu_IMPH
agalixavalYoVMxigeVye agalu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVye_lYu_DECL
agalixavalYoVMxigeVye agalu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVye_lYu_RIS
agalixavarannu agalu(V4)+ixa_u_PRP+ixavaru_ixa_ACC+rannu_ru_3P
agalixavariMxalA agalu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxalA_ru_INTR
agalixavariMxalU agalu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxalU_ru_INCL
agalixavariMxalo agalu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxalo_ru_DUB
agalixavariMxalo agalu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxalo_ru_INDF
agalixavariMxalo agalu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxalo_ru_PRES
agalixavariMxale agalu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxale_ru_IMPH
agalixavariMxale agalu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxale_ru_DECL
agalixavariMxale agalu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxale_ru_RIS
agalixavarigeV agalu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeV_ru_3P
agalixavarigeVyA agalu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVyA_ru_INTR
agalixavarigeVyU agalu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVyU_ru_INCL
agalixavarigeVyo agalu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVyo_ru_DUB
agalixavarigeVyo agalu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVyo_ru_INDF
agalixavarigeVyo agalu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVyo_ru_PRES
agalixavarigeVye agalu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVye_ru_IMPH
agalixavarigeVye agalu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVye_ru_DECL
agalixavarigeVye agalu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVye_ru_RIS
agalixavariMxa  agalu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxa_ru_3P
agalixavariMxalA agalu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxalA_ru_INTR
agalixavariMxalU agalu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxalU_ru_INCL
agalixavariMxalo agalu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxalo_ru_DUB
agalixavariMxalo agalu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxalo_ru_INDF
agalixavariMxalo agalu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxalo_ru_PRES
agalixavariMxale agalu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxale_ru_IMPH
agalixavariMxale agalu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxale_ru_DECL
agalixavariMxale agalu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxale_ru_RIS
agalixavara agalu(V4)+ixa_u_PRP+ixavaru_ixa_GEN+ra_ru_3P
agalixavaralli agalu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralli_ru_3P
agalixavaralliyA agalu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliyA_ru_INTR
agalixavaralliyU agalu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliyU_ru_INCL
agalixavaralliyo agalu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliyo_ru_DUB
agalixavaralliyo agalu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliyo_ru_INDF
agalixavaralliyo agalu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliyo_ru_PRES
agalixavaralliye agalu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliye_ru_IMPH
agalixavaralliye agalu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliye_ru_DECL
agalixavaralliye agalu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliye_ru_RIS
agalixavarigoskara agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigoskara_ru_3P
agalixavarigoskaravA agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigoskaravA_ru_INTR
agalixavarigoskaravU agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigoskaravU_ru_INCL
agalixavarigoskaravo agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigoskaravo_ru_DUB
agalixavarigoskaravo agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigoskaravo_ru_INDF
agalixavarigoskaravo agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigoskaravo_ru_PRES
agalixavarigoskarave agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigoskarave_ru_IMPH
agalixavarigoskarave agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigoskarave_ru_DECL
agalixavarigoskarave agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigoskarave_ru_RIS
agalixavarigoskara agalu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigoskara_ru_3P
agalixavarigoskaravA agalu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigoskaravA_ru_INTR
agalixavarigoskaravU agalu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigoskaravU_ru_INCL
agalixavarigoskaravo agalu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigoskaravo_ru_DUB
agalixavarigoskaravo agalu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigoskaravo_ru_INDF
agalixavarigoskaravo agalu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigoskaravo_ru_PRES
agalixavarigoskarave agalu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigoskarave_ru_IMPH
agalixavarigoskarave agalu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigoskarave_ru_DECL
agalixavarigoskarave agalu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigoskarave_ru_RIS
agalixavarigAgi agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgi_ru_3P
agalixavarigAgiyA agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyA_ru_INTR
agalixavarigAgiyU agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyU_ru_INCL
agalixavarigAgiyo agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyo_ru_DUB
agalixavarigAgiyo agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyo_ru_INDF
agalixavarigAgiyo agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyo_ru_PRES
agalixavarigAgiye agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiye_ru_IMPH
agalixavarigAgiye agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiye_ru_DECL
agalixavarigAgiye agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiye_ru_RIS
agalixavarigAgi agalu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigAgi_ru_3P
agalixavarigAgiyA agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyA_ru_INTR
agalixavarigAgiyU agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyU_ru_INCL
agalixavarigAgiyo agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyo_ru_DUB
agalixavarigAgiyo agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyo_ru_INDF
agalixavarigAgiyo agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyo_ru_PRES
agalixavarigAgiye agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiye_ru_IMPH
agalixavarigAgiye agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiye_ru_DECL
agalixavarigAgiye agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiye_ru_RIS
agalixavarigosuga agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigosuga_ru_3P
agalixavarigosugavA agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigosugavA_ru_INTR
agalixavarigosugavU agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigosugavU_ru_INCL
agalixavarigosugavo agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigosugavo_ru_DUB
agalixavarigosugavo agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigosugavo_ru_INDF
agalixavarigosugavo agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigosugavo_ru_PRES
agalixavarigosugave agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigosugave_ru_IMPH
agalixavarigosugave agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigosugave_ru_DECL
agalixavarigosugave agalu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigosugave_ru_RIS
agalixavarigosuga agalu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigosuga_ru_3P
agalixavarigosugavA agalu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigosugavA_ru_INTR
agalixavarigosugavU agalu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigosugavU_ru_INCL
agalixavarigosugavo agalu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigosugavo_ru_DUB
agalixavarigosugavo agalu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigosugavo_ru_INDF
agalixavarigosugavo agalu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigosugavo_ru_PRES
agalixavarigosugave agalu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigosugave_ru_IMPH
agalixavarigosugave agalu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigosugave_ru_DECL
agalixavarigosugave agalu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigosugave_ru_RIS
agalixavarigiMwa agalu(V4)+ixa_u_PRP+ixavaru_ixa_COMP+rigiMwa_ru_3P
agalixavarigiMwalA agalu(V4)+ixa_u_PRP+ixavaru_ixa_COMP+rigiMwalA_ru_INTR
agalixavarigiMwalU agalu(V4)+ixa_u_PRP+ixavaru_ixa_COMP+rigiMwalU_ru_INCL
agalixavarigiMwalo agalu(V4)+ixa_u_PRP+ixavaru_ixa_COMP+rigiMwalo_ru_DUB
agalixavarigiMwalo agalu(V4)+ixa_u_PRP+ixavaru_ixa_COMP+rigiMwalo_ru_INDF
agalixavarigiMwalo agalu(V4)+ixa_u_PRP+ixavaru_ixa_COMP+rigiMwalo_ru_PRES
agalixavarigiMwale agalu(V4)+ixa_u_PRP+ixavaru_ixa_COMP+rigiMwale_ru_IMPH
agalixavarigiMwale agalu(V4)+ixa_u_PRP+ixavaru_ixa_COMP+rigiMwale_ru_DECL
agalixavarigiMwale agalu(V4)+ixa_u_PRP+ixavaru_ixa_COMP+rigiMwale_ru_RIS
agalixavaraxeV agalu(V4)+ixa_u_PRP+ixavaru_ixa_SIM+raxeV_ru_3P
agalixavaraxeVyA agalu(V4)+ixa_u_PRP+ixavaru_ixa_SIM+raxeVyA_ru_INTR
agalixavaraxeVyU agalu(V4)+ixa_u_PRP+ixavaru_ixa_SIM+raxeVyU_ru_INCL
agalixavaraxeVyo agalu(V4)+ixa_u_PRP+ixavaru_ixa_SIM+raxeVyo_ru_DUB
agalixavaraxeVyo agalu(V4)+ixa_u_PRP+ixavaru_ixa_SIM+raxeVyo_ru_INDF
agalixavaraxeVyo agalu(V4)+ixa_u_PRP+ixavaru_ixa_SIM+raxeVyo_ru_PRES
agalixavaraxeVye agalu(V4)+ixa_u_PRP+ixavaru_ixa_SIM+raxeVye_ru_IMPH
agalixavaraxeVye agalu(V4)+ixa_u_PRP+ixavaru_ixa_SIM+raxeVye_ru_DECL
agalixavaraxeVye agalu(V4)+ixa_u_PRP+ixavaru_ixa_SIM+raxeVye_ru_RIS
agalixavaroVdaneV agalu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVdaneV_ru_3P
agalixavaroVdaneVyA agalu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVdaneVyA_ru_INTR
agalixavaroVdaneVyU agalu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVdaneVyU_ru_INCL
agalixavaroVdaneVyo agalu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVdaneVyo_ru_DUB
agalixavaroVdaneVyo agalu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVdaneVyo_ru_INDF
agalixavaroVdaneVyo agalu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVdaneVyo_ru_PRES
agalixavaroVdaneVye agalu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVdaneVye_ru_IMPH
agalixavaroVdaneVye agalu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVdaneVye_ru_DECL
agalixavaroVdaneVye agalu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVdaneVye_ru_RIS
agalixavaroVMxigeV  agalu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVMxigeV_ru_3P
agalixavaroVMxigeVyA agalu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVMxigeVyA_ru_INTR
agalixavaroVMxigeVyU agalu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVMxigeVyU_ru_INCL
agalixavaroVMxigeVyo agalu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVMxigeVyo_ru_DUB
agalixavaroVMxigeVyo agalu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVMxigeVyo_ru_INDF
agalixavaroVMxigeVyo agalu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVMxigeVyo_ru_PRES
agalixavaroVMxigeVye agalu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVMxigeVye_ru_IMPH
agalixavaroVMxigeVye agalu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVMxigeVye_ru_DECL
agalixavaroVMxigeVye agalu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVMxigeVye_ru_RIS
agalixaMweVyA agalu(V4)+ixa_u_SIM+ixaMweVyA_ixa_INTR
agalixaMweVyU agalu(V4)+ixa_u_SIM+ixaMweVyU_ixa_INCL
agalixaMweVyo agalu(V4)+ixa_u_SIM+ixaMweVyo_ixa_DUB
agalixaMweVyo agalu(V4)+ixa_u_SIM+ixaMweVyo_ixa_INDF
agalixaMweVyo agalu(V4)+ixa_u_SIM+ixaMweVyo_ixa_PRES
agalixaMweVye agalu(V4)+ixa_u_SIM+ixaMweVye_ixa_IMPH
agalixaMweVye agalu(V4)+ixa_u_SIM+ixaMweVye_ixa_DECL
agalixaMweVye agalu(V4)+ixa_u_SIM+ixaMweVye_ixa_RIS







