kEgoVMdanu kEgoVlYlYu(V32)+Mda_lYlYu_PAST+anu_a_3SM   
kEgoVMdavanalligeVyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_DAT+nalligeVyo_nu_INDF
kEgoVMdavanalligeVyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_DAT+nalligeVyo_nu_PRES
kEgoVMdavanalligeVye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_DAT+nalligeVye_nu_IMPH
kEgoVMdavanalligeVye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_DAT+nalligeVye_nu_DECL
kEgoVMdavanalligeVye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_DAT+nalligeVye_nu_RIS
kEgoVMdavaniMxa  kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_ABL+niMxa_nu_3SM
kEgoVMdavaniMxalA kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_ABL+niMxalA_nu_INTR
kEgoVMdavaniMxalU kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_ABL+niMxalU_nu_INCL
kEgoVMdavaniMxalo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_ABL+niMxalo_nu_DUB
kEgoVMdavaniMxalo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_ABL+niMxalo_nu_INDF
kEgoVMdavaniMxalo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_ABL+niMxalo_nu_PRES
kEgoVMdavaniMxale kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_ABL+niMxale_nu_IMPH
kEgoVMdavaniMxale kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_ABL+niMxale_nu_DECL
kEgoVMdavaniMxale kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_ABL+niMxale_nu_RIS
kEgoVMdavana kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_GEN+na_nu_3SM
kEgoVMdavanalli kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_LOC+nalli_nu_3SM
kEgoVMdavanalliyA kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_LOC+nalliyA_nu_INTR
kEgoVMdavanalliyU kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_LOC+nalliyU_nu_INCL
kEgoVMdavanalliyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_LOC+nalliyo_nu_DUB
kEgoVMdavanalliyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_LOC+nalliyo_nu_INDF
kEgoVMdavanalliyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_LOC+nalliyo_nu_PRES
kEgoVMdavanalliye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_LOC+nalliye_nu_IMPH
kEgoVMdavanalliye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_LOC+nalliye_nu_DECL
kEgoVMdavanalliye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_LOC+nalliye_nu_RIS
kEgoVMdavanigoskara kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_BEN+nigoskara_nu_3SM
kEgoVMdavanigoskaravA kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_BEN+nigoskaravA_nu_INTR
kEgoVMdavanigoskaravU kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_BEN+nigoskaravU_nu_INCL
kEgoVMdavanigoskaravo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_BEN+nigoskaravo_nu_DUB
kEgoVMdavanigoskaravo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_BEN+nigoskaravo_nu_INDF
kEgoVMdavanigoskaravo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_BEN+nigoskaravo_nu_PRES
kEgoVMdavanigoskarave kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_BEN+nigoskarave_nu_IMPH
kEgoVMdavanigoskarave kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_BEN+nigoskarave_nu_DECL
kEgoVMdavanigoskarave kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_BEN+nigoskarave_nu_RIS
kEgoVMdavanigoskara kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_PUR+nigoskara_nu_3SM
kEgoVMdavanigoskaravA kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_PUR+nigoskaravA_nu_INTR
kEgoVMdavanigoskaravU kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_PUR+nigoskaravU_nu_INCL
kEgoVMdavanigoskaravo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_PUR+nigoskaravo_nu_DUB
kEgoVMdavanigoskaravo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_PUR+nigoskaravo_nu_INDF
kEgoVMdavanigoskaravo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_PUR+nigoskaravo_nu_PRES
kEgoVMdavanigoskarave kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_PUR+nigoskarave_nu_IMPH
kEgoVMdavanigoskarave kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_PUR+nigoskarave_nu_DECL
kEgoVMdavanigoskarave kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_PUR+nigoskarave_nu_RIS
kEgoVMdavanigAgi kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_BEN+nigAgi_nu_3SM
kEgoVMdavanigAgiyA kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_BEN+nigAgiyA_nu_INTR
kEgoVMdavanigAgiyU kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_BEN+nigAgiyU_nu_INCL
kEgoVMdavanigAgiyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_BEN+nigAgiyo_nu_DUB
kEgoVMdavanigAgiyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_BEN+nigAgiyo_nu_INDF
kEgoVMdavanigAgiyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_BEN+nigAgiyo_nu_PRES
kEgoVMdavanigAgiye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_BEN+nigAgiye_nu_IMPH
kEgoVMdavanigAgiye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_BEN+nigAgiye_nu_DECL
kEgoVMdavanigAgiye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_BEN+nigAgiye_nu_RIS
kEgoVMdavanigAgi kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_PUR+nigAgi_nu_3SM
kEgoVMdavanigAgiyA kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_PUR+nigAgiyA_nu_INTR
kEgoVMdavanigAgiyU kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_PUR+nigAgiyU_nu_INCL
kEgoVMdavanigAgiyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_PUR+nigAgiyo_nu_DUB
kEgoVMdavanigAgiyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_PUR+nigAgiyo_nu_INDF
kEgoVMdavanigAgiyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_PUR+nigAgiyo_nu_PRES
kEgoVMdavanigAgiye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_PUR+nigAgiye_nu_IMPH
kEgoVMdavanigAgiye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_PUR+nigAgiye_nu_DECL
kEgoVMdavanigAgiye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_PUR+nigAgiye_nu_RIS
kEgoVMdavanigosuga kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_BEN+nigosuga_nu_3SM
kEgoVMdavanigosugavA kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_BEN+nigosugavA_nu_INTR
kEgoVMdavanigosugavU kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_BEN+nigosugavU_nu_INCL
kEgoVMdavanigosugavo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_BEN+nigosugavo_nu_DUB
kEgoVMdavanigosugavo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_BEN+nigosugavo_nu_INDF
kEgoVMdavanigosugavo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_BEN+nigosugavo_nu_PRES
kEgoVMdavanigosugave kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_BEN+nigosugave_nu_IMPH
kEgoVMdavanigosugave kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_BEN+nigosugave_nu_DECL
kEgoVMdavanigosugave kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_BEN+nigosugave_nu_RIS
kEgoVMdavanigosuga kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_PUR+nigosuga_nu_3SM
kEgoVMdavanigosugavA kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_PUR+nigosugavA_nu_INTR
kEgoVMdavanigosugavU kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_PUR+nigosugavU_nu_INCL
kEgoVMdavanigosugavo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_PUR+nigosugavo_nu_DUB
kEgoVMdavanigosugavo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_PUR+nigosugavo_nu_INDF
kEgoVMdavanigosugavo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_PUR+nigosugavo_nu_PRES
kEgoVMdavanigosugave kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_PUR+nigosugave_nu_IMPH
kEgoVMdavanigosugave kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_PUR+nigosugave_nu_DECL
kEgoVMdavanigosugave kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_PUR+nigosugave_nu_RIS
kEgoVMdavanigiMwa kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_COMP+nigiMwa_nu_3SM
kEgoVMdavanigiMwalA kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_COMP+nigiMwalA_nu_INTR
kEgoVMdavanigiMwalU kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_COMP+nigiMwalU_nu_INCL
kEgoVMdavanigiMwalo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_COMP+nigiMwalo_nu_DUB
kEgoVMdavanigiMwalo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_COMP+nigiMwalo_nu_INDF
kEgoVMdavanigiMwalo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_COMP+nigiMwalo_nu_PRES
kEgoVMdavanigiMwale kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_COMP+nigiMwale_nu_IMPH
kEgoVMdavanigiMwale kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_COMP+nigiMwale_nu_DECL
kEgoVMdavanigiMwale kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_COMP+nigiMwale_nu_RIS
kEgoVMdavanaxeV kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_SIM+naxeV_nu_3SM
kEgoVMdavanaxeVyA kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_SIM+naxeVyA_nu_INTR
kEgoVMdavanaxeVyU kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_SIM+naxeVyU_nu_DUB
kEgoVMdavanaxeVyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_SIM+naxeVyo_nu_INDF
kEgoVMdavanaxeVyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_SIM+naxeVyo_nu_PRES
kEgoVMdavanaxeVye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_SIM+naxeVye_nu_IMPH
kEgoVMdavanaxeVye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_SIM+naxeVye_nu_DECL
kEgoVMdavanaxeVye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_SIM+naxeVye_nu_RIS
kEgoVMdavanoVdaneV kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_SOC+noVdaneV_nu_3SM
kEgoVMdavanoVdaneVyA kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_SOC+noVdaneVyA_nu_INTR
kEgoVMdavanoVdaneVyU kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_SOC+noVdaneVyU_nu_INCL
kEgoVMdavanoVdaneVyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_SOC+noVdaneVyo_nu_DUB
kEgoVMdavanoVdaneVyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_SOC+noVdaneVyo_nu_INDF
kEgoVMdavanoVdaneVyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_SOC+noVdaneVyo_nu_PRES
kEgoVMdavanoVdaneVye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_SOC+noVdaneVye_nu_IMPH
kEgoVMdavanoVdaneVye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_SOC+noVdaneVye_nu_DECL
kEgoVMdavanoVdaneVye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_SOC+noVdaneVye_nu_RIS
kEgoVMdavanoVMxigeV kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_SOC+noVMxigeV_nu_3SM
kEgoVMdavanoVMxigeVyA kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_SOC+noVMxigeVyA_nu_INTR
kEgoVMdavanoVMxigeVyU kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_SOC+noVMxigeVyU_nu_INCL
kEgoVMdavanoVMxigeVyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_SOC+noVMxigeVyo_nu_DUB
kEgoVMdavanoVMxigeVyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_SOC+noVMxigeVyo_nu_INDF
kEgoVMdavanoVMxigeVyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_SOC+noVMxigeVyo_nu_PRES
kEgoVMdavanoVMxigeVye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_SOC+noVMxigeVye_nu_IMPH
kEgoVMdavanoVMxigeVye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_SOC+noVMxigeVye_nu_DECL
kEgoVMdavanoVMxigeVye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_SOC+noVMxigeVye_nu_RIS
kEgoVMdavalYannu kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_ACC+lYannu_lYu_3SF
kEgoVMdavalYannA kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_ACC+lYannA_lYu_INTR
kEgoVMdavalYannU kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_ACC+lYannU_lYu_INCL
kEgoVMdavalYanno kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_ACC+lYanno_lYu_DUB
kEgoVMdavalYanno kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_ACC+lYanno_lYu_INDF
kEgoVMdavalYanno kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_ACC+lYanno_lYu_PRES
kEgoVMdavalYanne kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_ACC+lYanne_lYu_IMPH
kEgoVMdavalYanne kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_ACC+lYanne_lYu_DECL
kEgoVMdavalYanne kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_ACC+lYanne_lYu_RIS
kEgoVMdavalYiMxa kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_INS+lYiMxa_lYu_3SF
kEgoVMdavalYiMxalA kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_INS+lYiMxalA_lYu_INTR
kEgoVMdavalYiMxalU kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_INS+lYiMxalU_lYu_INCL
kEgoVMdavalYiMxalo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_INS+lYiMxalo_lYu_DUB
kEgoVMdavalYiMxalo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_INS+lYiMxalo_lYu_INDF
kEgoVMdavalYiMxalo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_INS+lYiMxalo_lYu_PRES
kEgoVMdavalYiMxale kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_INS+lYiMxale_lYu_IMPH
kEgoVMdavalYiMxale kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_INS+lYiMxale_lYu_DECL
kEgoVMdavalYiMxale kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_INS+lYiMxale_lYu_RIS
kEgoVMdavalYigeV kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_DAT+lYigeV_lYu_3SF
kEgoVMdavalYigeVyA kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_DAT+lYigeVyA_lYu_INTR
kEgoVMdavalYigeVyU kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_DAT+lYigeVyU_lYu_INCL
kEgoVMdavalYigeVyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_DAT+lYigeVyo_lYu_DUB
kEgoVMdavalYigeVyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_DAT+lYigeVyo_lYu_INDF
kEgoVMdavalYigeVyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_DAT+lYigeVyo_lYu_PRES
kEgoVMdavalYigeVye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_DAT+lYigeVye_lYu_IMPH
kEgoVMdavalYigeVye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_DAT+lYigeVye_lYu_DECL
kEgoVMdavalYigeVye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_DAT+lYigeVye_lYu_RIS
kEgoVMdavalYiMxa  kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_ABL+lYiMxa_lYu_3SF
kEgoVMdavalYiMxalA kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_ABL+lYiMxalA_lYu_INTR
kEgoVMdavalYiMxalU kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_ABL+lYiMxalU_lYu_INCL
kEgoVMdavalYiMxalo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_ABL+lYiMxalo_lYu_DUB
kEgoVMdavalYiMxalo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_ABL+lYiMxalo_lYu_INDF
kEgoVMdavalYiMxalo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_ABL+lYiMxalo_lYu_PRES
kEgoVMdavalYiMxale kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_ABL+lYiMxale_lYu_IMPH
kEgoVMdavalYiMxale kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_ABL+lYiMxale_lYu_DECL
kEgoVMdavalYiMxale kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_ABL+lYiMxale_lYu_RIS
kEgoVMdavalYa kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_GEN+lYa_lYu_3SF
kEgoVMdavalYalli kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_LOC+lYalli_lYu_3SF
kEgoVMdavalYalliyA kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_LOC+lYalliyA_lYu_INTR
kEgoVMdavalYalliyU kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_LOC+lYalliyU_lYu_INCL
kEgoVMdavalYalliyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_LOC+lYalliyo_lYu_DUB
kEgoVMdavalYalliyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_LOC+lYalliyo_lYu_INDF
kEgoVMdavalYalliyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_LOC+lYalliyo_lYu_PRES
kEgoVMdavalYalliye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_LOC+lYalliye_lYu_IMPH
kEgoVMdavalYalliye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_LOC+lYalliye_lYu_DECL
kEgoVMdavalYalliye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_LOC+lYalliye_lYu_RIS
kEgoVMdavalYigoskara kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_BEN+lYigoskara_lYu_3SF
kEgoVMdavalYigoskaravA kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_BEN+lYigoskaravA_lYu_INTR
kEgoVMdavalYigoskaravU kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_BEN+lYigoskaravU_lYu_INCL
kEgoVMdavalYigoskaravo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_BEN+lYigoskaravo_lYu_DUB
kEgoVMdavalYigoskaravo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_BEN+lYigoskaravo_lYu_INDF
kEgoVMdavalYigoskaravo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_BEN+lYigoskaravo_lYu_PRES
kEgoVMdavalYigoskarave kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_BEN+lYigoskarave_lYu_IMPH
kEgoVMdavalYigoskarave kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_BEN+lYigoskarave_lYu_DECL
kEgoVMdavalYigoskarave kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_BEN+lYigoskarave_lYu_RIS
kEgoVMdavalYigoskara kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_PUR+lYigoskara_lYu_3SF
kEgoVMdavalYigoskaravA kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_PUR+lYigoskaravA_lYu_INTR
kEgoVMdavalYigoskaravU kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_PUR+lYigoskaravU_lYu_INCL
kEgoVMdavalYigoskaravo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_PUR+lYigoskaravo_lYu_DUB
kEgoVMdavalYigoskaravo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_PUR+lYigoskaravo_lYu_INDF
kEgoVMdavalYigoskaravo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_PUR+lYigoskaravo_lYu_PRES
kEgoVMdavalYigoskarave kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_PUR+lYigoskarave_lYu_IMPH
kEgoVMdavalYigoskarave kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_PUR+lYigoskarave_lYu_DECL
kEgoVMdavalYigoskarave kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_PUR+lYigoskarave_lYu_RIS
kEgoVMdavalYigAgi kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_BEN+lYigAgi_lYu_3SF
kEgoVMdavalYigAgiyA kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_BEN+lYigAgiyA_lYu_INTR
kEgoVMdavalYigAgiyU kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_BEN+lYigAgiyU_lYu_INCL
kEgoVMdavalYigAgiyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_BEN+lYigAgiyo_lYu_DUB
kEgoVMdavalYigAgiyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_BEN+lYigAgiyo_lYu_INDF
kEgoVMdavalYigAgiyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_BEN+lYigAgiyo_lYu_PRES
kEgoVMdavalYigAgiye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_BEN+lYigAgiye_lYu_IMPH
kEgoVMdavalYigAgiye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_BEN+lYigAgiye_lYu_DECL
kEgoVMdavalYigAgiye kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_BEN+lYigAgiye_lYu_RIS
kEgoVMdavalYigAgi kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_PUR+lYigAgi_lYu_3SF
kEgoVMdavalYigAgiyA kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_PUR+lYigAgiyA_lYu_INTR
kEgoVMdavalYigAgiyU kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_PUR+lYigAgiyU_lYu_INCL
kEgoVMdavalYigAgiyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+MdavalYu_Mda_PUR+lYigAgiyo_lYu_DUB
